Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"Feb 16, 2021",Feb,Tue,"1,674.15","1,718.00","1,733.75","1,662.00",1.78M,-2.27%,,
"Feb 15, 2021",Feb,Mon,"1,713.10","1,734.00","1,745.00","1,682.00",2.92M,-1.09%,,
"Feb 12, 2021",Feb,Fri,"1,731.90","1,627.45","1,767.70","1,626.00",7.30M,6.97%,,
"Feb 11, 2021",Feb,Thu,"1,619.00","1,626.00","1,636.95","1,611.75",1.12M,0.04%,,
"Feb 10, 2021",Feb,Wed,"1,618.40","1,648.40","1,674.00","1,611.10",3.05M,-1.42%,,
"Feb 09, 2021",Feb,Tue,"1,641.75","1,624.00","1,688.90","1,592.00",5.32M,1.42%,,
"Feb 08, 2021",Feb,Mon,"1,618.70","1,569.80","1,629.00","1,562.00",4.85M,4.10%,,
"Feb 05, 2021",Feb,Fri,"1,555.00","1,549.70","1,568.00","1,515.00",3.01M,2.38%,,
"Feb 04, 2021",Feb,Thu,"1,518.90","1,474.80","1,540.00","1,464.25",2.21M,3.37%,,
"Feb 03, 2021",Feb,Wed,"1,469.35","1,477.40","1,498.00","1,462.15",1.86M,-0.08%,,
"Feb 02, 2021",Feb,Tue,"1,470.50","1,468.00","1,478.00","1,461.35",1.06M,0.73%,,
"Feb 01, 2021",Feb,Mon,"1,459.90","1,469.75","1,497.70","1,451.15",2.44M,0.26%,,
"Jan 29, 2021",Jan,Fri,"1,456.10","1,468.00","1,478.95","1,445.20",1.40M,-0.07%,,
"Jan 28, 2021",Jan,Thu,"1,457.05","1,436.50","1,498.70","1,433.00",2.83M,1.31%,,
"Jan 27, 2021",Jan,Wed,"1,438.25","1,432.75","1,443.65","1,422.25",823.11K,0.84%,,
"Jan 25, 2021",Jan,Mon,"1,426.25","1,433.00","1,445.45","1,417.05",699.48K,-0.43%,,
"Jan 22, 2021",Jan,Fri,"1,432.45","1,454.00","1,462.45","1,423.10",882.01K,-1.52%,,
"Jan 21, 2021",Jan,Thu,"1,454.50","1,460.00","1,483.15","1,450.00",1.21M,0.12%,,
"Jan 20, 2021",Jan,Wed,"1,452.70","1,450.00","1,458.40","1,437.00",574.12K,0.64%,,
"Jan 19, 2021",Jan,Tue,"1,443.50","1,438.00","1,447.85","1,432.80",577.50K,1.42%,,
"Jan 18, 2021",Jan,Mon,"1,423.35","1,448.45","1,461.85","1,417.70",1.27M,-1.24%,,
"Jan 15, 2021",Jan,Fri,"1,441.20","1,468.45","1,470.00","1,437.00",996.64K,-1.50%,,
"Jan 14, 2021",Jan,Thu,"1,463.10","1,468.45","1,482.15","1,452.45",1.12M,0.13%,,
"Jan 13, 2021",Jan,Wed,"1,461.15","1,492.00","1,493.55","1,442.20",1.18M,-1.30%,,
"Jan 12, 2021",Jan,Tue,"1,480.45","1,460.70","1,497.00","1,454.00",1.80M,1.35%,,
"Jan 11, 2021",Jan,Mon,"1,460.70","1,482.35","1,484.00","1,452.00",1.03M,-0.73%,,
"Jan 08, 2021",Jan,Fri,"1,471.50","1,504.00","1,509.80","1,460.75",1.57M,-1.21%,,
"Jan 07, 2021",Jan,Thu,"1,489.45","1,494.00","1,509.90","1,480.00",1.77M,0.40%,,
"Jan 06, 2021",Jan,Wed,"1,483.45","1,461.95","1,514.90","1,449.00",4.24M,1.83%,,
"Jan 05, 2021",Jan,Tue,"1,456.85","1,443.70","1,463.00","1,431.45",1.24M,0.40%,,
"Jan 04, 2021",Jan,Mon,"1,451.05","1,462.00","1,468.00","1,445.00",1.05M,0.42%,,
"Jan 01, 2021",Jan,Fri,"1,445.00","1,447.00","1,459.00","1,440.10",1.16M,0.50%,,
"Dec 31, 2020",Dec,Thu,"1,437.80","1,445.00","1,465.00","1,430.75",2.64M,0.20%,,
"Dec 30, 2020",Dec,Wed,"1,434.95","1,420.00","1,443.00","1,408.00",1.64M,1.71%,,
"Dec 29, 2020",Dec,Tue,"1,410.80","1,426.00","1,427.90","1,408.00",928.55K,-0.50%,,
